signal_name,holding_bars,holding_minutes,enough_trades_in_sample,enough_trades_out_of_sample,positive_after_base_cost_in_sample,positive_after_base_cost_out_of_sample,positive_in_both,enough_trades_in_both
dhv_buy60_cvdpos_signal,3,15,True,True,False,False,False,True
dhv_buy60_cvdpos_signal,6,30,True,True,False,False,False,True
dhv_buy60_cvdpos_signal,12,60,True,True,True,False,False,True
dhv_buy60_signal,3,15,True,True,False,False,False,True
dhv_buy60_signal,6,30,True,True,False,False,False,True
dhv_buy60_signal,12,60,True,True,True,False,False,True
dhv_cvd_positive_signal,3,15,True,True,False,False,False,True
dhv_cvd_positive_signal,6,30,True,True,False,False,False,True
dhv_cvd_positive_signal,12,60,True,True,False,False,False,True
dhv_score4_buy60_cvdpos_signal,3,15,True,True,False,False,False,True
dhv_score4_buy60_cvdpos_signal,6,30,True,True,True,True,True,True
dhv_score4_buy60_cvdpos_signal,12,60,True,True,True,False,False,True
dhv_score4_buy60_signal,3,15,True,True,False,False,False,True
dhv_score4_buy60_signal,6,30,True,True,True,True,True,True
dhv_score4_buy60_signal,12,60,True,True,True,False,False,True
dhv_score4_signal,3,15,True,True,False,False,False,True
dhv_score4_signal,6,30,True,True,False,True,False,True
dhv_score4_signal,12,60,True,True,False,False,False,True
downtrend_highvol_forced_cover_signal,3,15,True,True,False,False,False,True
downtrend_highvol_forced_cover_signal,6,30,True,True,False,False,False,True
downtrend_highvol_forced_cover_signal,12,60,True,True,False,False,False,True
