sample_split,signal_name,exit_label,cost_label,trades,win_rate,avg_net_return,median_net_return,total_return,avg_holding_bars,main_exit_reason
in_sample,breakout_forced_cover_signal,adaptive,with_cost,178,0.16853932584269662,-0.0011119487498487382,-0.001461896800661199,-0.1799548692418147,3.9269662921348316,false_squeeze
in_sample,breakout_forced_cover_signal,adaptive,no_cost,178,0.39325842696629215,8.463567517674555e-05,-0.0002620815963406131,0.014814861241004396,3.9269662921348316,false_squeeze
in_sample,breakout_forced_cover_signal,fixed_6b,with_cost,172,0.22093023255813954,-0.0011393294367712018,-0.0012330509009287108,-0.17858457054648735,6.0,fixed_6b_exit
in_sample,breakout_forced_cover_signal,fixed_6b,no_cost,172,0.4941860465116279,6.06148203054652e-05,-3.31441399370469e-05,0.009824508775710505,6.0,fixed_6b_exit
in_sample,breakout_forced_cover_signal,fixed_12b,with_cost,144,0.3125,-0.0009008315357897109,-0.0012318356040854953,-0.1223066927789741,12.0,fixed_12b_exit
in_sample,breakout_forced_cover_signal,fixed_12b,no_cost,144,0.5,0.0002992081395309831,-3.192835687770845e-05,0.04331251639153266,12.0,fixed_12b_exit
in_sample,downtrend_forced_cover_signal,adaptive,with_cost,28,0.25,-0.0008450466030460978,-0.0012761154799590716,-0.023455189252110986,5.214285714285714,false_squeeze
in_sample,downtrend_forced_cover_signal,adaptive,no_cost,28,0.4642857142857143,0.0003479082478542926,-7.622594824480133e-05,0.009722414065653329,5.214285714285714,false_squeeze
in_sample,downtrend_forced_cover_signal,fixed_6b,with_cost,28,0.2857142857142857,-0.0009590837345560273,-0.0004948579492674903,-0.026819274004003635,6.0,fixed_6b_exit
in_sample,downtrend_forced_cover_signal,fixed_6b,no_cost,28,0.5714285714285714,0.0002409326352240829,0.0007053441479722977,0.0064482700338546195,6.0,fixed_6b_exit
in_sample,downtrend_forced_cover_signal,fixed_12b,with_cost,26,0.38461538461538464,-0.0006145933905128992,-0.0011512406751876029,-0.01607993710291511,12.0,fixed_12b_exit
in_sample,downtrend_forced_cover_signal,fixed_12b,no_cost,26,0.5384615384615384,0.0005855608029695775,4.8698816440650994e-05,0.015107182078507364,12.0,fixed_12b_exit
in_sample,downtrend_normalvol_forced_cover_signal,adaptive,with_cost,13,0.23076923076923078,-0.0011099132584298753,-0.0013385220155981196,-0.014370957266130024,5.230769230769231,false_squeeze
in_sample,downtrend_normalvol_forced_cover_signal,adaptive,no_cost,13,0.38461538461538464,7.473507516425188e-05,-0.00013865745149166386,0.0009326853746125519,5.230769230769231,false_squeeze
in_sample,downtrend_normalvol_forced_cover_signal,fixed_6b,with_cost,13,0.3076923076923077,-0.0023227806748180786,-0.0018436859082094684,-0.029973656312056063,6.0,fixed_6b_exit
in_sample,downtrend_normalvol_forced_cover_signal,fixed_6b,no_cost,13,0.46153846153846156,-0.0011233098929316514,-0.0006440234500810771,-0.014702536918368425,6.0,fixed_6b_exit
in_sample,downtrend_normalvol_forced_cover_signal,fixed_12b,with_cost,12,0.3333333333333333,-0.0014128101270956589,-0.0010085621771685808,-0.016903064906544252,12.0,fixed_12b_exit
in_sample,downtrend_normalvol_forced_cover_signal,fixed_12b,no_cost,12,0.5833333333333334,-0.00021297528417792608,0.0001914343972754251,-0.0026342120042294193,12.0,fixed_12b_exit
in_sample,downtrend_highvol_forced_cover_signal,adaptive,with_cost,9,0.2222222222222222,-0.0007088113160387036,-0.0011733583242657711,-0.006380827329484751,4.666666666666667,false_squeeze
in_sample,downtrend_highvol_forced_cover_signal,adaptive,no_cost,9,0.5555555555555556,0.0004913051827346212,2.6572318533091277e-05,0.004410682797720389,4.666666666666667,false_squeeze
in_sample,downtrend_highvol_forced_cover_signal,fixed_6b,with_cost,9,0.3333333333333333,0.0010436519086364083,-0.00019625520018804398,0.009346091753461128,6.0,fixed_6b_exit
in_sample,downtrend_highvol_forced_cover_signal,fixed_6b,no_cost,9,0.7777777777777778,0.0022444695329246877,0.001004066362044309,0.02029565597975358,6.0,fixed_6b_exit
in_sample,downtrend_highvol_forced_cover_signal,fixed_12b,with_cost,8,0.5,0.001386761777833848,-0.00029022133286513635,0.011041496134807538,12.0,fixed_12b_exit
in_sample,downtrend_highvol_forced_cover_signal,fixed_12b,no_cost,8,0.625,0.0025877166735241153,0.0009100626353953922,0.0207827522901316,12.0,fixed_12b_exit
out_of_sample,breakout_forced_cover_signal,adaptive,with_cost,81,0.12345679012345678,-0.001750732922459532,-0.001940053722869183,-0.13257484019854238,3.234567901234568,false_squeeze
out_of_sample,breakout_forced_cover_signal,adaptive,no_cost,81,0.2839506172839506,-0.000568267843600438,-0.0007404298195777814,-0.04528058191756745,3.234567901234568,false_squeeze
out_of_sample,breakout_forced_cover_signal,fixed_6b,with_cost,75,0.30666666666666664,-0.001410475351704087,-0.0013020446888194251,-0.10097048296836753,6.0,fixed_6b_exit
out_of_sample,breakout_forced_cover_signal,fixed_6b,no_cost,75,0.48,-0.0002106395746894189,-0.00010216553086339619,-0.01624440501170077,6.0,fixed_6b_exit
out_of_sample,breakout_forced_cover_signal,fixed_12b,with_cost,65,0.2923076923076923,-0.0013567086334107692,-0.0012035826345056836,-0.08528402773674182,12.0,fixed_12b_exit
out_of_sample,breakout_forced_cover_signal,fixed_12b,no_cost,65,0.49230769230769234,-0.00015685134540658255,-3.664083849441724e-06,-0.011029171047117203,12.0,fixed_12b_exit
out_of_sample,downtrend_forced_cover_signal,adaptive,with_cost,18,0.16666666666666666,-0.0011422966211869733,-0.0014103859098153807,-0.020428031273650227,2.7777777777777777,false_squeeze
out_of_sample,downtrend_forced_cover_signal,adaptive,no_cost,18,0.3888888888888889,4.65908932229469e-05,-0.00021055009701681504,0.0007715522774756067,2.7777777777777777,false_squeeze
out_of_sample,downtrend_forced_cover_signal,fixed_6b,with_cost,18,0.4444444444444444,0.0006816926417748344,-0.0006467340801400205,0.012172617719359291,6.0,fixed_6b_exit
out_of_sample,downtrend_forced_cover_signal,fixed_6b,no_cost,18,0.6666666666666666,0.0018823654533938134,0.0005534072544948199,0.03425755903347638,6.0,fixed_6b_exit
out_of_sample,downtrend_forced_cover_signal,fixed_12b,with_cost,18,0.5555555555555556,0.0010233883192182936,0.0006035867239119426,0.01826002610402533,12.0,fixed_12b_exit
out_of_sample,downtrend_forced_cover_signal,fixed_12b,no_cost,18,0.6666666666666666,0.002224197836449387,0.001804228286914178,0.040472930211562064,12.0,fixed_12b_exit
out_of_sample,downtrend_normalvol_forced_cover_signal,adaptive,with_cost,7,0.14285714285714285,-0.0017103315941421585,-0.001371977855139627,-0.011919666971031084,2.7142857142857144,false_squeeze
