horizon,events,avg_return,median_return,win_rate,avg_mfe,avg_mae,signal_col_name
1b,59,-0.00031486388090656,-0.0002207233262149222,0.4915254237288136,0.001811637183429055,-0.002288421299337712,simple_breakout_signal
2b,59,-0.0005911738917910426,-0.0006243020972828139,0.3898305084745763,0.0021127832846852476,-0.002722776346820672,simple_breakout_signal
3b,59,-0.0004325777531545847,-0.0005349586943076412,0.4067796610169492,0.0026517571368397594,-0.0032139712322110554,simple_breakout_signal
6b,59,-0.001380304076401705,-0.0018551148883327873,0.3898305084745763,0.0032025786938310098,-0.004491657537441938,simple_breakout_signal
12b,59,-0.0025589050866373754,-0.0017320856967002474,0.4067796610169492,0.004027582224758994,-0.006890868090259283,simple_breakout_signal
1b,30,0.00012639012031757287,0.00031613451343048826,0.5666666666666667,0.0021114940099915434,-0.00225351077504764,breakout_forced_cover_signal
2b,30,2.3365433936521167e-05,2.4248749667554748e-05,0.5333333333333333,0.0025114096529185504,-0.0025135589463185356,breakout_forced_cover_signal
3b,30,0.0004430775019364619,8.106570138272096e-05,0.5,0.00308924018606046,-0.0028598247737038154,breakout_forced_cover_signal
6b,30,-9.856143782176844e-05,-0.0003100309114348887,0.4666666666666667,0.003972759889809015,-0.00378319465728126,breakout_forced_cover_signal
12b,30,-0.001089911337122181,-0.00029300269118676114,0.5,0.005011835125820508,-0.0058778553418903185,breakout_forced_cover_signal
1b,20,0.000618058293088114,0.0003615699674488493,0.6,0.0025851964924819893,-0.0020543816020820228,current_short_squeeze_signal
2b,20,0.0008448539136372446,0.00015214897035342734,0.6,0.0030533332843771465,-0.0022686022280699104,current_short_squeeze_signal
3b,20,0.0014061225392838828,0.0008827703267755282,0.55,0.0038364405757328247,-0.0025983316274876154,current_short_squeeze_signal
6b,20,0.0016449868809097156,0.0018663629509645396,0.65,0.005051028786298301,-0.002908661736344004,current_short_squeeze_signal
12b,20,0.0009806538227659423,0.0006729141438447384,0.6,0.00619453274637573,-0.003891236867148129,current_short_squeeze_signal
1b,14,0.0005581642675665442,0.0003615699674488493,0.6428571428571429,0.002017609146256205,-0.0017310517682521756,trend_filtered_short_squeeze_signal
2b,14,0.000869424474589304,0.00038784008761516553,0.7142857142857143,0.002497449217873831,-0.0018404393508755143,trend_filtered_short_squeeze_signal
3b,14,0.0008840138244372813,0.0008827703267755282,0.5714285714285714,0.002893583786888286,-0.0019227067588330957,trend_filtered_short_squeeze_signal
6b,14,0.0006785329001528188,0.0007026940645525892,0.5714285714285714,0.003715690363340526,-0.0023660354857707932,trend_filtered_short_squeeze_signal
12b,14,-0.0003797019300295079,-0.00029300269118676114,0.5,0.004254315652262998,-0.003435136506623709,trend_filtered_short_squeeze_signal
1b,10,0.00018145164945508884,0.00023501701726252877,0.5,0.001501197980795821,-0.00164228396272732,early_squeeze_candidate_signal
2b,10,0.0005045091880929609,0.0012987282878774709,0.7,0.002330757970850994,-0.0018287221763527595,early_squeeze_candidate_signal
3b,10,0.001071227612335046,0.0019400214161215956,0.6,0.0026625523783456173,-0.0019795250570220023,early_squeeze_candidate_signal
6b,10,0.001859144125817469,0.0024990673950924247,0.6,0.004977613377808543,-0.0026883797791365737,early_squeeze_candidate_signal
12b,10,0.0007631512986922328,0.0029420977590660646,0.6,0.005821389996973891,-0.0038539281832145056,early_squeeze_candidate_signal
