sample_split,signal_name,holding_bars,holding_minutes,base_cost,no_cost
in_sample,dhv_buy60_cvdpos_signal,3,15,-0.0002798109017704722,0.0009201890982295279
in_sample,dhv_buy60_cvdpos_signal,6,30,-0.0004773266120994363,0.0007226733879005637
in_sample,dhv_buy60_cvdpos_signal,12,60,0.0009135796084371664,0.002113579608437166
in_sample,dhv_buy60_signal,3,15,-0.0002798109017704722,0.0009201890982295279
in_sample,dhv_buy60_signal,6,30,-0.0004773266120994363,0.0007226733879005637
in_sample,dhv_buy60_signal,12,60,0.0009135796084371664,0.002113579608437166
in_sample,dhv_cvd_positive_signal,3,15,-0.0009652235003023024,0.00023477649969769754
in_sample,dhv_cvd_positive_signal,6,30,-0.0017186690949780366,-0.0005186690949780371
in_sample,dhv_cvd_positive_signal,12,60,-0.0007871793261651797,0.0004128206738348202
in_sample,dhv_score4_buy60_cvdpos_signal,3,15,-0.00019024825691436688,0.0010097517430856333
in_sample,dhv_score4_buy60_cvdpos_signal,6,30,0.0005632829316519921,0.001763282931651992
in_sample,dhv_score4_buy60_cvdpos_signal,12,60,0.0010518778377756831,0.0022518778377756832
in_sample,dhv_score4_buy60_signal,3,15,-0.00019024825691436688,0.0010097517430856333
in_sample,dhv_score4_buy60_signal,6,30,0.0005632829316519921,0.001763282931651992
in_sample,dhv_score4_buy60_signal,12,60,0.0010518778377756831,0.0022518778377756832
in_sample,dhv_score4_signal,3,15,-0.0011613438505196413,3.865614948035866e-05
in_sample,dhv_score4_signal,6,30,-0.0018317716531761113,-0.0006317716531761117
in_sample,dhv_score4_signal,12,60,-0.0014439473120572907,-0.00024394731205729103
in_sample,downtrend_highvol_forced_cover_signal,3,15,-0.0010123735022333894,0.00018762649776661055
in_sample,downtrend_highvol_forced_cover_signal,6,30,-0.001697018788732565,-0.000497018788732565
in_sample,downtrend_highvol_forced_cover_signal,12,60,-0.0008277800002693989,0.00037221999973060084
out_of_sample,dhv_buy60_cvdpos_signal,3,15,-0.000945672472668508,0.00025432752733149194
out_of_sample,dhv_buy60_cvdpos_signal,6,30,-0.0007780624804038072,0.00042193751959619284
out_of_sample,dhv_buy60_cvdpos_signal,12,60,-0.0026159600647942542,-0.0014159600647942548
out_of_sample,dhv_buy60_signal,3,15,-0.000945672472668508,0.00025432752733149194
out_of_sample,dhv_buy60_signal,6,30,-0.0007780624804038072,0.00042193751959619284
out_of_sample,dhv_buy60_signal,12,60,-0.0026159600647942542,-0.0014159600647942548
out_of_sample,dhv_cvd_positive_signal,3,15,-0.000736871687413661,0.0004631283125863389
out_of_sample,dhv_cvd_positive_signal,6,30,-0.0005400371448507568,0.0006599628551492431
out_of_sample,dhv_cvd_positive_signal,12,60,-0.0012084376548493847,-8.437654849385063e-06
out_of_sample,dhv_score4_buy60_cvdpos_signal,3,15,-0.0011093281274757272,9.067187252427278e-05
out_of_sample,dhv_score4_buy60_cvdpos_signal,6,30,0.00028470399063527214,0.0014847039906352721
out_of_sample,dhv_score4_buy60_cvdpos_signal,12,60,-0.003004119865980258,-0.0018041198659802583
out_of_sample,dhv_score4_buy60_signal,3,15,-0.0011093281274757272,9.067187252427278e-05
out_of_sample,dhv_score4_buy60_signal,6,30,0.00028470399063527214,0.0014847039906352721
out_of_sample,dhv_score4_buy60_signal,12,60,-0.003004119865980258,-0.0018041198659802583
out_of_sample,dhv_score4_signal,3,15,-0.0009835783634413386,0.0002164216365586613
out_of_sample,dhv_score4_signal,6,30,3.0461708541146492e-05,0.0012304617085411465
out_of_sample,dhv_score4_signal,12,60,-0.001407715489677827,-0.00020771548967782723
out_of_sample,downtrend_highvol_forced_cover_signal,3,15,-0.0006505706801940047,0.0005494293198059954
out_of_sample,downtrend_highvol_forced_cover_signal,6,30,-0.0004766925276187553,0.0007233074723812447
out_of_sample,downtrend_highvol_forced_cover_signal,12,60,-0.0009373579739940116,0.00026264202600598805
